img_path,json_path,captions
../combined/10533.jpg,../combined/10533.json,"['display showing search option to find news', 'news feed page', 'page displaying blank for the news in stock market application', 'page displaying for a trading application', 'page displaying various options in the app']"
../combined/11970.jpg,../combined/11970.json,"['home page displayed', 'page asking to order now', 'page displaying information about an order', 'page displaying information about cab booking application', 'welcome page for a advance ride booking app']"
../combined/63862.jpg,../combined/63862.json,"['display of call log', 'display of screen shows calls from unknown numbers', 'page displaying information about contacts', 'page displaying the found and not found contacts', 'page displaying various mobile numbers in tracking application']"
../combined/60089.jpg,../combined/60089.json,"['display of a pop up', 'notification showing an information', 'pop up displaying the additional information', 'pop up page showing the declaration information', 'pop-up showing information page']"
../combined/44827.jpg,../combined/44827.json,"['display of screen shows products on online store', 'display showing a product in a shopping app', 'page displaying a gadget in a shopping app', 'page displays price of a product in shopping app', 'page showing a product on a shopping app']"
../combined/67002.jpg,../combined/67002.json,"['fill the details to search a train', 'interface for a trip planning app', 'page displaying to search train in a travelling app', 'page shows to search for a train', 'screen displaying the train ticket information']"
../combined/40895.jpg,../combined/40895.json,"['pop up displaying the comments and likes', 'pop up showing zero comments on an app', 'pop-up showing information about likes and comments', 'pop-up showing to add comment in a food app', 'popup of chat with profile in the application']"
../combined/3418.jpg,../combined/3418.json,"['display shows number of messages', 'list of messages in the application', 'page displaying list of messages', 'page showing the message history of calling app', 'screen displaying the message page']"
../combined/8039.jpg,../combined/8039.json,"['display of usage date info', 'display page of allowing app in a ebook application', 'page displaying the data usage settings option', 'usage data in bible of the app', 'usage data page']"
../combined/36052.jpg,../combined/36052.json,"['display screen of rent payment app', 'page displaying to pay rent in a payments app', 'payment page for a payment app', 'pop up message with two options', 'screen displaying the payment page of a rent payment app']"
../combined/50780.jpg,../combined/50780.json,"['display list of options for settings', 'page displaying the various options of settings', 'page showing different options in settings', 'page showing list of different setting options', 'settings page']"
../combined/44814.jpg,../combined/44814.json,"['display of a pop up to rate', 'display showing rate us screen in the app', 'pop-up displaying feedback information to provide', 'pop-up for rating options with five stars', 'pop-up to rate a particular filter app']"
../combined/29804.jpg,../combined/29804.json,"['different country options are there to select', 'list of countries with select option', 'list of different countries to select one', 'page displayed list of countries to select', 'screen showing list of various countries for an app']"
../combined/66372.jpg,../combined/66372.json,"['page displaying various posts about politics', 'page is displaying political news', 'page of the politics app', 'politics page', 'various political feed displayed']"
../combined/16851.jpg,../combined/16851.json,"['display of screen shows to join a group', 'home page for the application', 'introductory page of an social app', 'page displaying information about a social application', 'welcome page']"
../combined/29183.jpg,../combined/29183.json,"['confirm page', 'login credential page for social app', 'page displays confirm option in social app', 'page showing the username field', 'social app page asking to confirm']"
../combined/33615.jpg,../combined/33615.json,"['page displaying help and support an food application', 'sign in page of a social app', 'sign in page for social app', 'sign in page', 'sign in page']"
../combined/64807.jpg,../combined/64807.json,"['page displaying night mode', 'page displaying the night mode settings', 'page displaying to filter color and screen dimension', 'page showing about different option in night mode', 'page showing different options for setting night mode']"
../combined/6898.jpg,../combined/6898.json,"['family page creating with contacts', 'page showing interface with options', 'page showing my family to create a file', 'page to create a family', 'page to create the family']"
../combined/25495.jpg,../combined/25495.json,"['login page for a mental health application', 'notification displaying details to be entered', 'pop up displaying login details', 'pop up message for login with submit option', 'pop-up shows login page']"
../combined/6382.jpg,../combined/6382.json,"['display image of a audio books app', 'display page of master key description', 'page displaying information', 'page showing information about master key', 'story in a audio books app']"
../combined/36480.jpg,../combined/36480.json,"['customize page displaying in application', 'different kinds of categories of customize options in the app', 'display of customize page', 'page displaying the customization options', 'screen shows to customize an item']"
../combined/70695.jpg,../combined/70695.json,"['display with dictionary option', 'display screen of dictionary with various options', 'page displaying different options', 'page displaying the information of contact history', 'page showing different setting options in language learning app']"
../combined/5495.jpg,../combined/5495.json,"['basic details page of a public safety app', 'page showing the input field for location', 'page with neighborhood details in a public safety app', 'screen displaying the details of neighborhood', 'screen showing neighborhood details with list of agencies']"
../combined/21888.jpg,../combined/21888.json,"['display pf features in a leagues app', 'page displaying information for a sports app', 'page displaying the draft features', 'page displaying the more features options', 'screen displaying features information']"
../combined/32367.jpg,../combined/32367.json,"['page showing variety of colour shades', 'pop up alert showing colors option', 'pop up displaying multiple shades of colours', 'pop up notification of list of colors', 'pop up showing various shades of colors']"
../combined/20027.jpg,../combined/20027.json,"['welcome page for a location service app', 'welcome page', 'welcome page', 'welcome page', 'welcome page']"
